"time","half","year"
30,"First",1954
83,"Second",1954
54,"Second",1954
85,"Second",1954
3,"First",1954
65,"Second",1954
4,"First",1954
21,"First",1954
24,"First",1954
18,"First",1954
78,"Second",1954
44,"First",1954
26,"First",1954
63,"Second",1954
36,"First",1954
91,"Extra",1954
5,"First",1954
71,"Second",1954
67,"Second",1954
94,"Extra",1954
41,"First",1954
48,"Second",1954
58,"Second",1954
78,"Second",1954
81,"Second",1954
43,"First",1954
69,"Second",1954
14,"First",1954
85,"Second",1954
48,"Second",1954
90,"Second",1954
67,"Second",1954
25,"First",1954
27,"First",1954
53,"Second",1954
26,"First",1954
34,"First",1954
32,"First",1954
76,"Second",1954
16,"First",1954
39,"First",1954
17,"First",1954
19,"First",1954
60,"Second",1954
5,"First",1954
39,"First",1954
46,"Second",1954
78,"Second",1954
16,"First",1954
67,"Second",1954
9,"First",1954
85,"Second",1954
4,"First",1954
7,"First",1954
88,"Second",1954
60,"Second",1954
18,"First",1954
65,"Second",1954
31,"First",1954
47,"Second",1954
54,"Second",1954
64,"Second",1954
61,"Second",1954
89,"Second",1954
51,"Second",1954
13,"First",1954
46,"Second",1954
111,"Extra",1954
116,"Extra",1954
75,"Second",1954
86,"Second",1954
16,"First",1954
59,"Second",1954
89,"Second",1954
22,"First",1954
10,"First",1954
18,"First",1954
84,"Second",1954
6,"First",1954
8,"First",1954
3,"First",1958
32,"First",1958
79,"Second",1958
42,"First",1958
21,"First",1958
60,"Second",1958
71,"Second",1958
24,"First",1958
42,"First",1958
37,"First",1958
56,"Second",1958
60,"Second",1958
4,"First",1958
20,"First",1958
78,"Second",1958
18,"First",1958
60,"Second",1958
8,"First",1958
17,"First",1958
39,"First",1958
68,"Second",1958
81,"Second",1958
89,"Second",1958
64,"Second",1958
44,"First",1958
97,"Extra",1958
18,"First",1958
24,"First",1958
30,"First",1958
67,"Second",1958
52,"Second",1958
61,"Second",1958
70,"Second",1958
83,"Second",1958
20,"First",1958
44,"First",1958
50,"Second",1958
6,"First",1958
49,"Second",1958
16,"First",1958
63,"Second",1958
88,"Second",1958
4,"First",1958
85,"Second",1958
4,"First",1958
45,"First",1958
73,"Second",1958
24,"First",1958
74,"Second",1958
22,"First",1958
44,"First",1958
58,"Second",1958
20,"First",1958
52,"Second",1958
80,"Second",1958
18,"First",1958
21,"First",1958
73,"Second",1958
17,"First",1958
64,"Second",1958
57,"Second",1958
5,"First",1958
27,"First",1958
89,"Second",1958
32,"First",1958
34,"First",1958
55,"Second",1958
77,"Second",1958
19,"First",1958
46,"Second",1958
54,"Second",1958
69,"Second",1958
55,"Second",1958
76,"Second",1958
33,"First",1958
37,"First",1958
85,"Second",1958
50,"Second",1958
13,"First",1958
56,"Second",1958
66,"Second",1958
85,"Second",1958
15,"First",1958
62,"Second",1958
56,"Second",1958
74,"Second",1958
15,"First",1958
71,"Second",1958
3,"First",1958
77,"Second",1958
69,"Second",1958
66,"Second",1958
44,"First",1958
55,"Second",1958
63,"Second",1958
68,"Second",1958
49,"Second",1958
88,"Second",1958
12,"First",1958
2,"First",1958
39,"First",1958
52,"Second",1958
64,"Second",1958
75,"Second",1958
9,"First",1958
83,"Second",1958
32,"First",1958
81,"Second",1958
88,"Second",1958
24,"First",1958
16,"First",1958
36,"First",1958
78,"Second",1958
89,"Second",1958
27,"First",1958
50,"Second",1958
18,"First",1958
52,"Second",1958
84,"Second",1958
9,"First",1958
32,"First",1958
55,"Second",1958
90,"Second",1958
68,"Second",1958
4,"First",1958
80,"Second",1958
56,"Second",1962
75,"Second",1962
19,"First",1962
51,"Second",1962
83,"Second",1962
25,"First",1962
29,"First",1962
49,"Second",1962
19,"First",1962
8,"First",1962
11,"First",1962
10,"First",1962
56,"Second",1962
21,"First",1962
68,"Second",1962
72,"Second",1962
86,"Second",1962
38,"First",1962
89,"Second",1962
54,"Second",1962
20,"First",1962
61,"Second",1962
25,"First",1962
87,"Second",1962
82,"Second",1962
44,"First",1962
55,"Second",1962
51,"Second",1962
6,"First",1962
73,"Second",1962
87,"Second",1962
45,"First",1962
59,"Second",1962
73,"Second",1962
21,"First",1962
82,"Second",1962
1,"First",1962
65,"Second",1962
67,"Second",1962
56,"Second",1962
73,"Second",1962
80,"Second",1962
90,"Second",1962
72,"Second",1962
86,"Second",1962
35,"First",1962
12,"First",1962
29,"First",1962
90,"Second",1962
1,"First",1962
4,"First",1962
17,"First",1962
71,"Second",1962
60,"Second",1962
17,"First",1962
42,"First",1962
67,"Second",1962
81,"Second",1962
1,"First",1962
6,"First",1962
53,"Second",1962
8,"First",1962
70,"Second",1962
12,"First",1962
64,"Second",1962
11,"First",1962
29,"First",1962
26,"First",1962
13,"First",1962
31,"First",1962
59,"Second",1962
53,"Second",1962
38,"First",1962
85,"Second",1962
48,"Second",1962
80,"Second",1962
84,"Second",1962
69,"Second",1962
9,"First",1962
32,"First",1962
47,"Second",1962
78,"Second",1962
42,"First",1962
61,"Second",1962
90,"Second",1962
17,"First",1962
69,"Second",1962
78,"Second",1962
15,"First",1962
62,"Second",1966
48,"Second",1966
26,"First",1966
31,"First",1966
15,"First",1966
37,"First",1966
75,"Second",1966
38,"First",1966
75,"Second",1966
16,"First",1966
21,"First",1966
77,"Second",1966
40,"First",1966
52,"Second",1966
65,"Second",1966
77,"Second",1966
67,"Second",1966
57,"Second",1966
75,"Second",1966
31,"First",1966
52,"Second",1966
79,"Second",1966
39,"First",1966
84,"Second",1966
23,"First",1966
15,"First",1966
63,"Second",1966
1,"First",1966
67,"Second",1966
90,"Second",1966
60,"Second",1966
2,"First",1966
64,"Second",1966
73,"Second",1966
14,"First",1966
17,"First",1966
38,"First",1966
81,"Second",1966
15,"First",1966
27,"First",1966
85,"Second",1966
73,"Second",1966
43,"First",1966
45,"First",1966
54,"Second",1966
15,"First",1966
31,"First",1966
88,"Second",1966
33,"First",1966
8,"First",1966
88,"Second",1966
26,"First",1966
88,"Second",1966
57,"Second",1966
42,"First",1966
28,"First",1966
85,"Second",1966
32,"First",1966
78,"Second",1966
11,"First",1966
83,"Second",1966
70,"Second",1966
75,"Second",1966
5,"First",1966
46,"Second",1966
57,"Second",1966
27,"First",1966
43,"First",1966
56,"Second",1966
