"times","which.cup"
"67'",1998
"72' (o.g.)",1998
"78'",1998
"13'",1998
"52'",1998
"87'",1998
"41'",1998
"83'",1998
"50'",1998
"57'",1998
"3'",1998
"42'",1998
"89'",1998
"45+1'",1998
"82'",1998
"46'",1998
"90'",1998
"81'",1998
"20'",1998
"29'",1998
"71'",1998
"12' (pen.)",1998
"30'",2002
"47'",2002
"45'",2002
"83'",2002
"16' (pen.)",2002
"52'",2002
"22'",2002
"67'",2002
"20' (pen.)",2002
"26'",2002
"38'",2002
"46'",2002
"69'",2002
"88' (pen.)",2002
"39'",2002
"55'",2002
"63'",2002
"90+1' (pen.)",2002
"44'",2002
"74'",2002
"87' (pen.)",2002
"82'",2002
"53'",2002
"69'",2002
"83' (pen.)",2002
"10' (o.g.)",2002
"4'",2002
"31'",2002
"53'",2002
"4'",2002
"56'",2002
"45+1'",2002
"45+1'",2002
"65'",2002
"84'",2002
"73'",2002
"50'",2002
"87' (pen.)",2002
"45+2'",2002
"61'",2002
"65'",2002
"15'",2002
"32'",2002
"45' (pen.)",2002
"55'",2002
"86'",2002
"56'",2002
"39'",2002
"56'",2002
"10'",2002
"13'",2002
"38'",2002
"62'",2002
"64'",2002
"6'",2002
"9'",2002
"85'",2002
"26'",2002
"53'",2002
"4'",2002
"29' (o.g.)",2002
"36'",2002
"39'",2002
"71' (o.g.)",2002
"78'",2002
"24'",2002
"14'",2002
"65'",2002
"77'",2002
"88'",2002
"70'",2002
"3'",2002
"5'",2002
"66'",2002
"83'",2002
"52'",2002
"39'",2002
"20'",2002
"25'",2002
"70'",2002
"40'",2002
"45+1'",2002
"73'",2002
"84'",2002
"90+1'",2002
"19'",2002
"90+2'",2002
"66'",2002
"50'",2002
"79'",2002
"7'",2002
"61'",2002
"87'",2002
"63'",2002
"24'",2002
"59'",2002
"35'",2002
"63' (pen.)",2002
"27'",2002
"44' (pen.)",2002
"59'",2002
"88'",2002
"60' (pen.)",2002
"7'",2002
"27'",2002
"55'",2002
"73'",2002
"76'",2002
"28'",2002
"57'",2002
"5'",2002
"34'",2002
"85'",2002
"48'",2002
"6'",2006
"17'",2006
"61'",2006
"87'",2006
"12'",2006
"73'",2006
"24'",2006
"80'",2006
"90+1'",2006
"8'",2006
"54'",2006
"90+2'",2006
"4'",2006
"44'",2006
"57'",2006
"25'",2006
"33'",2006
"65'",2006
"3' (o.g.)",2006
"83'",2006
"90+1'",2006
"89'",2006
"51'",2006
"90'",2006
"34'",2006
"85'",2006
"25' (o.g.)",2006
"86'",2006
"24'",2006
"38'",2006
"82'",2006
"18'",2006
"6'",2006
"41'",2006
"31'",2006
"78'",2006
"84'",2006
"88'",2006
"23'",2006
"27'",2006
"39'",2006
"37' (pen.)",2006
"67'",2006
"86' (pen.)",2006
"10'",2006
"20'",2006
"28'",2006
"76'",2006
"79'",2006
"36'",2006
"4'",2006
"63'",2006
"80' (pen.)",2006
"6'",2006
"24' (pen.)",2006
"29'",2006
"75'",2006
"60'",2006
"5'",2006
"36'",2006
"76'",2006
"40'",2006
"83'",2006
"2'",2006
"82'",2006
"22'",2006
"27' (o.g.)",2006
"26'",2006
"87'",2006
"22'",2006
"45+2' (pen.)",2006
"43'",2006
"84'",2006
"89'",2006
"90+2'",2006
"26'",2006
"44'",2006
"49'",2006
"90'",2006
"34'",2006
"45+1'",2006
"81'",2006
"53'",2006
"59'",2006
"2'",2006
"56'",2006
"38' (pen.)",2006
"79'",2006
"54'",2006
"72'",2006
"31'",2006
"9'",2006
"81'",2006
"16'",2006
"88'",2006
"55'",2006
"61'",2006
"23'",2006
"77'",2006
"55'",2010
"79'",2010
"24'",2010
"80' (pen.)",2010
"90+5'",2010
"64'",2010
"79' (pen.)",2010
"43'",2010
"70'",2010
"20'",2010
"37'",2010
"7'",2010
"52'",2010
"6'",2010
"17' (o.g.)",2010
"33'",2010
"76'",2010
"80'",2010
"45+1'",2010
"44'",2010
"71'",2010
"16'",2010
"12'",2010
"69' (pen.)",2010
"38'",2010
"49'",2010
"77'",2010
"89'",2010
"4'",2010
"40'",2010
"79'",2010
"13'",2010
"42'",2010
"48'",2010
"82'",2010
"23'",2010
"90+1'",2010
"85' (pen.)",2010
"8'",2010
"26'",2010
"68'",2010
"70'",2010
"38'",2010
"25' (pen.)",2010
"11'",2010
"60'",2010
"69'",2010
"73'",2010
"84'",2010
"46' (o.g.)",2010
"85'",2010
"39'",2010
"53'",2010
"10'",2010
"33'",2010
"61'",2010
"81'",2010
"17'",2010
"30'",2010
"87'",2010
"65' (pen.)",2010
"36'",2010
"83'",2010
"63'",2010
"39'",2010
"90+3'",2010
"50'",2010
"27'",2010
"86'",2010
"29' (pen.)",2010
"7'",2010
"25'",2010
"73'",2010
"89'",2010
"81'",2010
"90+2'",2010
"55'",2010
"72'",2010
"89'",2010
"25'",2010
"50'",2010
"62'",2010
"79'",2010
"29'",2010
"53'",2010
"56'",2010
"60'",2010
"89'",2010
"81'",2010
"87'",2010
"14'",2010
"20'",2010
"82'",2010
"29'",2014
"71' (pen.)",2014
"90+1'",2014
"11' (o.g.)",2014
"61'",2014
"11'",2014
"48'",2014
"61'",2014
"73'",2014
"26'",2014
"17'",2014
"35'",2014
"49'",2014
"84'",2014
"87'",2014
"72'",2014
"75'",2014
"82'",2014
"27' (pen.)",2014
"44'",2014
"72'",2014
"53'",2014
"80'",2014
"64'",2014
"12'",2014
"14'",2014
"90+2'",2014
"35'",2014
"21'",2014
"54' (pen.)",2014
"20'",2014
"58'",2014
"68'",2014
"20'",2014
"43'",2014
"36'",2014
"69'",2014
"82'",2014
"77'",2014
"90+2'",2014
"5'",2014
"58'",2014
"90+3'",2014
"64'",2014
"66'",2014
"16'",2014
"64'",2014
"70'",2014
"73'",2014
"45+1'",2014
"17' (pen.)",2014
"55'",2014
"82'",2014
"90'",2014
"42'",2014
"90+3' (pen.)",2014
"74'",2014
"24' (pen.)",2014
"54'",2014
"57'",2014
"84'",2014
"37'",2014
"35'",2014
"50'",2014
"39'",2014
"85'",2014
"75'",2014
"44'",2014
"81'",2014
"48'",2014
"90+3'",2014
"22'",2014
"45' (pen.)",2014
"72'",2014
"48' (o.g.)",2014
"81'",2014
"87'",2014
"17'",2014
"18'",2014
"40'",2014
"67'",2014
"73'",2014
"31'",2014
"34'",2014
"65'",2014
"6'",2014
"31'",2014
"71'",2014
"3' (o.g.)",2014
"65'",2014
"85'",2014
"90+1'",2014
"29'",2014
"4'",2014
"47'",2014
"3'",2014
"45+1'",2014
"50'",2014
"23'",2014
"59'",2014
"83'",2014
"82'",2014
"12' (pen.)",2014
"45+1'",2014
"78'",2014
"32'",2014
"82'",2014
"1'",2014
"86'",2014
"51'",2014
"71'",2014
"54'",2014
"63'",2014
"64'",2014
"81'",2014
"5'",2014
"90+5'",2014
"55'",2014
"31' (o.g.)",2014
"80'",2014
"57'",2014
"28'",1998
"45'",1998
"27'",1998
"53'",1998
"69'",1998
"77'",1998
"31'",1998
"55'",1998
"73'",1998
"78'",1998
"83' (pen.)",1998
"36'",1998
"74'",1998
"39'",1998
"54'",1998
"59'",2002
"67'",2002
"57'",2002
"75'",2002
"59'",2002
"64' (pen.)",2002
"51'",2002
"17'",2002
"13'",2002
"48'",2002
"75'",2002
"7'",2002
"78'",2002
"82'",2002
"52'",2002
"88'",2002
"13'",2006
"17'",2006
"48' (pen.)",2006
"81'",2006
"23'",2006
"90+2'",2006
"57'",2006
"84'",2006
"4'",2006
"36'",2006
"46'",2006
"84'",2006
"71'",2006
"76'",2006
"90+1' (pen.)",2006
"8'",2006
"36'",2006
"70' (pen.)",2006
"34'",2010
"52'",2010
"75'",2010
"17'",2010
"51'",2010
"47'",2010
"24'",2010
"37'",2010
"70'",2014
"80'",2014
"25' (pen.)",2014
"74'",2014
"68'",2014
"88'",2014
"50'",2014
"72'",2014
"26'",2014
"28'",2014
"38'",2014
"62'",2014
"78'",2014
"60'",2014
"6'",2014
