"times","which.cup"
"17' (o.g.)",1966
"38'",1966
"81'",1966
"15'",1966
"27'",1966
"85'",1966
"73'",1966
"43' (o.g.)",1966
"45'",1966
"54'",1966
"15'",1966
"31'",1966
"88'",1966
"33'",1966
"8'",1966
"88'",1966
"26' (pen.)",1966
"88'",1966
"57'",1966
"42'",1966
"28'",1966
"85'",1966
"32'",1966
"78'",1966
"11'",1966
"83'",1966
"70'",1966
"75'",1966
"5'",1966
"46'",1966
"57'",1966
"27'",1966
"43' (pen.)",1966
"56'",1966
"59' (pen.)",1966
"80'",1966
"1'",1966
"22'",1966
"25'",1966
"43'",1966
"67'",1966
"88'",1966
"30'",1966
"80'",1966
"82' (pen.)",1966
"12' (pen.)",1966
"89'",1966
"43'",1966
"18'",1966
"101'",1966
"120'",1966
"78'",1966
"12'",1966
"89'",1966
"117'",1970
"25' (o.g.)",1970
"63'",1970
"76'",1970
"70'",1970
"13'",1970
"11'",1970
"15'",1970
"52'",1970
"75'",1970
"28'",1970
"70'",1970
"68'",1970
"82'",1970
"108'",1970
"31'",1970
"49'",1970
"19'",1970
"44'",1970
"76'",1970
"89'",1970
"8'",1970
"98'",1970
"104'",1970
"111'",1970
"90'",1970
"94'",1970
"110'",1970
"26'",1970
"18'",1970
"66'",1970
"71'",1970
"86'",1970
"37'",1970
"11'",1974
"90'",1974
"25'",1974
"73'",1974
"60'",1974
"35'",1974
"32'",1974
"49'",1974
"7'",1974
"59'",1974
"20'",1974
"14'",1974
"50'",1974
"65'",1974
"39'",1974
"82'",1974
"43'",1974
"24' (pen.)",1974
"62'",1974
"43'",1974
"51'",1974
"52'",1974
"76'",1974
"89' (pen.)",1974
"24'",1974
"53'",1974
"76'",1974
"29'",1974
"85'",1974
"27'",1974
"76'",1974
"2' (pen.)",1974
"25' (pen.)",1974
"43'",1974
"29'",1978
"54'",1978
"1'",1978
"15'",1978
"83'",1978
"10'",1978
"34'",1978
"36'",1978
"60'",1978
"81' (pen.)",1978
"45' (pen.)",1978
"73'",1978
"60'",1978
"22'",1978
"37'",1978
"42'",1978
"41'",1978
"67'",1978
"55'",1978
"79'",1978
"87'",1978
"45+1' (pen.)",1978
"15'",1978
"30'",1978
"38'",1978
"73'",1978
"44'",1978
"89'",1978
"43'",1978
"43'",1978
"84'",1978
"56'",1978
"52'",1978
"10'",1978
"76'",1978
"21'",1978
"45'",1978
"37'",1978
"42' (pen.)",1978
"75'",1978
"40'",1978
"43'",1978
"71'",1978
"77'",1978
"14'",1978
"40' (pen.)",1978
"62'",1978
"78' (pen.)",1978
"43' (o.g.)",1978
"60'",1978
"2'",1978
"36' (pen.)",1978
"39' (pen.)",1978
"79'",1978
"41'",1978
"44'",1978
"46' (pen.)",1978
"68'",1978
"34' (pen.)",1978
"71'",1978
"80'",1978
"6'",1978
"35' (pen.)",1978
"36'",1978
"53'",1978
"82'",1978
"27'",1978
"82'",1978
"3'",1978
"70'",1978
"13'",1978
"59' (o.g.)",1978
"66'",1978
"87'",1978
"19'",1978
"72'",1978
"19' (o.g.)",1978
"49'",1978
"76'",1978
"15'",1978
"27'",1978
"72' (pen.)",1978
"16'",1978
"72'",1978
"64'",1978
"45'",1978
"13'",1978
"58'",1978
"63'",1978
"21'",1978
"49'",1978
"43'",1978
"50'",1978
"72'",1978
"67'",1978
"64'",1978
"71'",1978
"38'",1978
"38'",1978
"105'",1978
"115'",1978
"82'",1978
"22'",1982
"73'",1982
"17'",1982
"102'",1982
"108'",1982
"26' (pen.)",1982
"92'",1982
"98'",1982
"40'",1982
"44'",1982
"46'",1982
"13'",1982
"72'",1982
"57'",1982
"69'",1982
"81'",1982
"83'",1982
"34'",1986
"61'",1986
"27'",1986
"70'",1986
"111' (pen.)",1986
"56'",1986
"77'",1986
"102'",1986
"110'",1986
"30' (pen.)",1986
"55'",1986
"79'",1986
"83' (pen.)",1986
"42'",1986
"15'",1986
"57'",1986
"88'",1986
"31'",1986
"73'",1986
"56'",1986
"33' (pen.)",1986
"43'",1986
"56'",1986
"80'",1986
"88' (pen.)",1986
"68' (pen.)",1986
"17'",1986
"40'",1986
"51'",1986
"55'",1986
"81'",1986
"85'",1986
"35'",1986
"9'",1986
"89'",1986
"51'",1986
"63'",1986
"11'",1986
"73'",1986
"27'",1986
"43'",1986
"104'",1986
"111' (pen.)",1986
"23'",1986
